seed,case_index,world_seed,family,heading,frames,first_avoidable_target_error_step,first_nonviable_action_with_viable_alternative_step,first_unavoidable_node_step,first_allowed_nonminimum_step,allowed_nonminimum_precedes_target_error,first_error_exact_train_covered,first_error_train_target_member,covered_frames,covered_target_member_frames,all_actions_raw_target_members
2026098001,436,2026097419,cross_left,0,2,1,1,,,False,False,,0,0,False
2026098001,437,2026097419,cross_left,1,2,1,1,,,False,False,,0,0,False
2026098001,438,2026097419,cross_left,2,2,1,1,,,False,False,,0,0,False
2026098001,439,2026097419,cross_left,3,2,1,1,,,False,False,,0,0,False
2026098001,480,2026097421,frontal,0,4,2,3,,0,True,False,,0,0,False
2026098001,481,2026097421,frontal,1,4,2,3,,0,True,False,,0,0,False
2026098001,482,2026097421,frontal,2,4,2,3,,0,True,False,,0,0,False
2026098001,483,2026097421,frontal,3,4,2,3,,0,True,False,,0,0,False
2026098001,552,2026097424,frontal,0,4,2,3,,0,True,False,,0,0,False
2026098001,553,2026097424,frontal,1,4,2,3,,0,True,False,,0,0,False
2026098001,554,2026097424,frontal,2,4,2,3,,0,True,False,,0,0,False
2026098001,555,2026097424,frontal,3,4,2,3,,0,True,False,,0,0,False
2026098002,388,2026097417,cross_left,0,4,2,3,,,False,False,,0,0,False
2026098002,389,2026097417,cross_left,1,4,2,3,,,False,False,,0,0,False
2026098002,390,2026097417,cross_left,2,4,2,3,,,False,False,,0,0,False
2026098002,391,2026097417,cross_left,3,4,2,3,,,False,False,,0,0,False
2026098002,480,2026097421,frontal,0,4,2,3,,,False,False,,0,0,False
2026098002,481,2026097421,frontal,1,4,2,3,,,False,False,,0,0,False
2026098002,482,2026097421,frontal,2,4,2,3,,,False,False,,0,0,False
2026098002,483,2026097421,frontal,3,4,2,3,,,False,False,,0,0,False
2026098002,552,2026097424,frontal,0,4,2,3,,0,True,False,,0,0,False
2026098002,553,2026097424,frontal,1,4,2,3,,0,True,False,,0,0,False
2026098002,554,2026097424,frontal,2,4,2,3,,0,True,False,,0,0,False
2026098002,555,2026097424,frontal,3,4,2,3,,0,True,False,,0,0,False
2026098002,560,2026097424,cross_right,0,4,2,3,,,False,False,,0,0,False
2026098002,561,2026097424,cross_right,1,4,2,3,,,False,False,,0,0,False
2026098002,562,2026097424,cross_right,2,4,2,3,,,False,False,,0,0,False
2026098002,563,2026097424,cross_right,3,4,2,3,,,False,False,,0,0,False
2026098003,388,2026097417,cross_left,0,4,2,3,,,False,False,,0,0,False
2026098003,389,2026097417,cross_left,1,4,2,3,,,False,False,,0,0,False
2026098003,390,2026097417,cross_left,2,4,2,3,,,False,False,,0,0,False
2026098003,391,2026097417,cross_left,3,4,2,3,,,False,False,,0,0,False
2026098003,392,2026097417,cross_right,0,2,1,1,,,False,False,,0,0,False
2026098003,393,2026097417,cross_right,1,2,1,1,,,False,False,,0,0,False
2026098003,394,2026097417,cross_right,2,2,1,1,,,False,False,,0,0,False
2026098003,395,2026097417,cross_right,3,2,1,1,,,False,False,,0,0,False
2026098003,480,2026097421,frontal,0,4,2,3,,,False,False,,0,0,False
2026098003,481,2026097421,frontal,1,4,2,3,,,False,False,,0,0,False
2026098003,482,2026097421,frontal,2,4,2,3,,,False,False,,0,0,False
2026098003,483,2026097421,frontal,3,4,2,3,,,False,False,,0,0,False
2026098003,488,2026097421,cross_right,0,2,1,1,,,False,False,,0,0,False
2026098003,489,2026097421,cross_right,1,2,1,1,,,False,False,,0,0,False
2026098003,490,2026097421,cross_right,2,2,1,1,,,False,False,,0,0,False
2026098003,491,2026097421,cross_right,3,2,1,1,,,False,False,,0,0,False
2026098003,552,2026097424,frontal,0,4,2,3,,0,True,False,,0,0,False
2026098003,553,2026097424,frontal,1,4,2,3,,0,True,False,,0,0,False
2026098003,554,2026097424,frontal,2,4,2,3,,0,True,False,,0,0,False
2026098003,555,2026097424,frontal,3,4,2,3,,0,True,False,,0,0,False
